NYC TLC Base License #,Radio Base Name,Base Type,Preferred Luxury Discount,Loss Control Discount
B01065,Barrios Car Service,Livery ,Y,N
B00256,Carmel Car and Limo,Livery ,Y,Y
B00887,Dial 7 Car and Limo Svc,Livery ,Y,Y
B02111,Huang Hou Car Service Inc.,Livery ,Y,Y
B01527,New Family Radio Disp. Inc,Livery ,Y,Y
B01667,New Golden Horse C/L Svc,Livery ,Y,Y
B01768,New Superior Radio Group,Livery ,Y,Y
B01525,Northside Luxury Inc.,Livery ,Y,Y
B00248,Yellowstone Transp. Inc.,Livery ,Y,Y
B03193,"EXPERT CARE TRANSPORTATION, INC.",Black Car,N,N
B03135,28 EXPRESS INC.,Black Car,N,N
B03243,"CAPRICE CAR SERVICE NO.2,INC",Black Car,N,N
B03283,NORWOOD CAR @ LIMO INC.,Black Car,N,N
B03199,RINCON TRANSPORTATION LLC,Black Car,N,N
B03095,AMBARK LUXURY TRANSPORTATION LLC,Black Car,N,N
B00271,UTOG 2-WAY RADIO INC,Black Car,N,Y
B03259,LATINO EXECUTIVE INC,Black Car,N,N
B01779,APEX CAR & LIMO SVCE INC,Black Car,N,Y
B02356,"XYZ LIMOUSINE, INC.",Black Car,N,N
B02822,MILKY WAY LIMO CORP,Black Car,N,N
B03174,NEW HEAVEN LUXURY INC,Black Car,N,N
B03240,ARECIBO EXPRESS INC.,Black Car,N,N
B02608,PARADA LUXURY INC.,Black Car,N,N
B02160,"12TH STREET LUXURY CARS, INC.",Black Car,N,N
B03194,"SUNNY DAY TRANSPORTATION,CORP",Black Car,N,N
B02551,CHIEF LIMO INC.,Black Car,N,N
B03117,RELY-ON-US CAR SERVICE INC,Black Car,N,N
B02682,SCHMECKEN LLC,Black Car,N,Y
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",Black Car,N,N
B02003,"AVALON CORPORATE CAR,INC.",Black Car,N,Y
B03022,BLACK CAR EXPRESS.COM CORP,Black Car,N,N
B02788,TAKE ME 2 INC,Black Car,N,Y
B03125,SIMPLE CARS LLC.,Black Car,N,N
B03207,QUICK AND LUXURIOUS BLACK CAR CORP,Black Car,N,N
B02101,EXEC TRANSPORT INC,Black Car,N,Y
B03204,EXTRA CAR SERVICE LLC,Black Car,N,N
B03039,BLEXCAR CORP,Black Car,N,N
B02997,KALUMA TRANSPORTATION GROUP INC.,Black Car,N,N
B03038,"SOUTH BRONX TRANSPORTATION,INC.",Black Car,N,N
B00254,XYZ TWO WAY RADIO,Black Car,N,Y
B02917,C & A BLACK CAR CORP.,Black Car,N,N
B02975,LI YANG LIMOUSINE INC,Black Car,N,N
B03242,U1ST TRANSPORTATION SERVICES LLC,Black Car,N,N
B00235,"ARISTACAR & LIMOUSINE, LTD.",Black Car,N,Y
B02867,"FUNF-NY, LLC",Black Car,N,Y
B02865,"VIER-NY,LLC",Black Car,N,Y
B02970,FLYTE LINE TRANSPORTATION LLC,Black Car,N,N
B02787,SEMPERIDE LLC,Black Car,N,N
B03059,"VOYAGER'S CAR & LIMO,INC",Black Car,N,N
B03116,NAVI TRANSPORTATION INC.,Black Car,N,N
B03021,ALBAJOSH TRANSPORT CORP,Black Car,N,N
B03164,KISS LUXURY TRANSPORTATION INC.,Black Car,N,N
B02429,SEAGULL RIDE CORP,Black Car,N,N
B03221,FRONT LINE CAR & LIMO SERVICE INC,Black Car,N,N
B02925,SIGNATURE BLACK CAR LLC,Black Car,N,N
B03165,"NERD WAHED, INC.",Black Car,N,N
B00888,ACE C/L SVCE INC,Black Car,N,Y
B02998,GENESIS LUXURY TRANSPORTATION CORP.,Black Car,N,N
B02819,FIVE STAR LUXURY INC.,Black Car,N,N
B02876,"VIERZEHN-NY, LLC",Black Car,N,Y
B02784,SMILE TRANSPORTATION GROUP INC,Black Car,N,N
B02868,CHA CHA TRANSPORTATION CORP,Black Car,N,N
B02984,GRAND PRIX TRANSPORTATION LLC,Black Car,N,N
B03097,AERO LIMO INC,Black Car,N,N
B02924,CELEBRITY LUXURY INC.,Black Car,N,Y
B02942,FANNY RADIO DISPATCHER SERVICE INC.,Black Car,N,N
B03196,KAYL INC.,Black Car,N,N
B03096,QUDOS FLEET NEW YORK 1 LLC,Black Car,N,N
B03192,PERFECTION CAR SERVICE INC,Black Car,N,N
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,Black Car,N,N
B03107,JD XPRESS INC.,Black Car,N,N
B03113,MIKE'S VIP TRANSPORTATION INC.,Black Car,N,N
B02795,LIMO SEVEN TRANSPORTATION INC,Black Car,N,N
B00381,BELL RADIO INC,Black Car,N,Y
B01803,"V.I.P. CONNECTION, INC.",Black Car,N,Y
B03042,BAYRIDGE EXPRESS LUXYRY INC,Black Car,N,N
B03072,CONVENIENCE RIDE TRANSPORTATION SERVICES INC.,Black Car,N,N
B03105,MAZNA TRANSPORTATION CORPORATION,Black Car,N,N
B02532,COZY RIDE LIMOUSINE INC,Black Car,N,N
B02005,CAR LINE TRANSPORTATION CORP.,Black Car,N,Y
B03223,SUPRARIDE INC,Black Car,N,N
B03102,METRO LUXURY INC,Black Car,N,N
B01087,ELITE LIMO PLUS INC,Black Car,N,Y
B02651,SAROS TRANSPORTATION GROUP INC.,Black Car,N,N
B00013,LOVE CORPORATE CAR INC,Black Car,N,Y
B03206,KIDMOTO TECHNOLOGIES LLC,Black Car,N,N
B02825,GUADALUPANA II CAR & LIMO INC,Black Car,N,N
B02539,HAWK CAR AND LIMO SERVICE,Black Car,N,N
B03002,"REYNO,INC.",Black Car,N,N
B03109,ROLUX INC,Black Car,N,N
B02811,M.L TRIPS CORP.,Black Car,N,N
B02761,D & M EXPRESS INC,Black Car,N,N
B03129,PHASE ONE TRANSPORT INC.,Black Car,N,N
B02664,CORPORATE CAR LTD.,Black Car,N,Y
B02373,QUIET SERVICES INC,Black Car,N,N
B03202,JUPITER SELECT LLC,Black Car,N,N
B02932,GRAND TRANSPORTATION SERVICES INC,Black Car,N,N
B03274,NECROPOLIS TRANS CORP,Black Car,N,N
B03120,"ABIX TRANSPORTATION,CORP",Black Car,N,N
B02878,"ELF-NY,LLC",Black Car,N,Y
B03006,HUDSON HEIGHTS TRANSPORTATION INC.,Black Car,N,N
B03203,GREATEST TRANSPORTATION LLC,Black Car,N,N
B03073,"TRANSMEDI, LLC",Black Car,N,N
B03100,MORELOS CAR SERVICE INC.,Black Car,N,N
B03062,BQN VOUCHER INC,Black Car,N,N
B03017,SDR TRANSPORTATION CORP.,Black Car,N,N
B02817,ANYTIME FORSYTH TRANSPORT CORP,Black Car,N,N
B02207,"EASTERN LUXURY, INC.",Black Car,N,Y
B03256,JETSET TRANSPORTATION CORP.,Black Car,N,Y
B02492,"EZCAR.COM, LLC",Black Car,N,Y
B02889,"ACHTZEHN-NY, LLC",Black Car,N,Y
B03138,WST LIMOUSINE LLC,Black Car,N,N
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,Black Car,N,N
B03156,EPIC CAR SERVICE INC.,Black Car,N,N
B03071,OUTSIDE'S LUXURY INC.,Black Car,N,N
B03076,CHARRITOS BLACK CAR INC,Black Car,N,N
B03049,"RIVERSIDE CLASSIC, INC.",Black Car,N,N
B03055,EXPLORER EXPRESS INC,Black Car,N,N
B03226,PAXXIA LUXURY CORP.,Black Car,N,N
B02835,DREIST NY LLC,Black Car,N,Y
B02475,ECKFORD LITE CAR & LIMO INC.,Black Car,N,N
B02871,"ACHT-NY,LLC",Black Car,N,Y
B02860,EVERY WHERE LIMO SERVICE INC.,Black Car,N,N
B03211,GREENLIGHT TRANSPORTATION SERVICE,Black Car,N,N
B03232,ANGEL'S CAR SERVICES CORP.,Black Car,N,N
B02334,"GROUND TRAVEL SERVICES II, LTD.",Black Car,N,N
B00272,BIG APPLE CAR INC,Black Car,N,Y
B03215,BALAYIRA LLC,Black Car,N,N
B03139,MJ LUXURY INC.,Black Car,N,N
B03260,CASTLETON BLACK CAR SERVICE INC.,Black Car,N,N
B02331,"CHICO EXPRESS LIMO, INC.",Black Car,N,N
B02797,CJ LIMOUSINE LLC,Black Car,N,N
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",Black Car,N,N
B02902,NY CAR & LIMO SERVICES INC.,Black Car,N,N
B00202,"EXCELSIOR CAR & LIMO, INC.",Black Car,N,Y
B03148,JUNIORS LUXURY 2 INC.,Black Car,N,N
B03161,LA MEXICANA EXPRESS 2 INC.,Black Car,N,N
B02167,MADISON LIMOUSINE INC,Black Car,N,N
